name,id,image_path,type1,type2
Azurill,298,../dataset-v3\Azurill\1.jpg,Normal,Fairy
Bagon,371,../dataset-v3\Bagon\0.jpg,Dragon,
Bagon,371,../dataset-v3\Bagon\1.jpg,Dragon,
Baltoy,343,../dataset-v3\Baltoy\0.jpg,Ground,Psychic
Baltoy,343,../dataset-v3\Baltoy\1.jpg,Ground,Psychic
Banette,354,../dataset-v3\Banette\0.jpg,Ghost,
Banette,354,../dataset-v3\Banette\1.jpg,Ghost,
Banette,354,../dataset-v3\Banette\2.jpg,Ghost,
Banette,354,../dataset-v3\Banette\3.jpg,Ghost,
Barbaracle,689,../dataset-v3\Barbaracle\0.jpg,Rock,Water
Barbaracle,689,../dataset-v3\Barbaracle\1.jpg,Rock,Water
Barboach,339,../dataset-v3\Barboach\0.jpg,Water,Ground
Barboach,339,../dataset-v3\Barboach\1.jpg,Water,Ground
Basculin,550,../dataset-v3\Basculin\0.jpg,Water,
Basculin,550,../dataset-v3\Basculin\1.jpg,Water,
Basculin,550,../dataset-v3\Basculin\2.jpg,Water,
Basculin,550,../dataset-v3\Basculin\3.jpg,Water,
Bastiodon,411,../dataset-v3\Bastiodon\0.jpg,Rock,Steel
Bastiodon,411,../dataset-v3\Bastiodon\1.jpg,Rock,Steel
Bayleef,153,../dataset-v3\Bayleef\0.jpg,Grass,
Bayleef,153,../dataset-v3\Bayleef\1.jpg,Grass,
Bayleef,153,../dataset-v3\Bayleef\2.jpg,Grass,
Beartic,614,../dataset-v3\Beartic\0.jpg,Ice,
Beartic,614,../dataset-v3\Beartic\1.jpg,Ice,
Beautifly,267,../dataset-v3\Beautifly\0.jpg,Bug,Flying
Beautifly,267,../dataset-v3\Beautifly\1.jpg,Bug,Flying
Beedrill,15,../dataset-v3\Beedrill\0.jpg,Bug,Poison
Beedrill,15,../dataset-v3\Beedrill\1.jpg,Bug,Poison
Beedrill,15,../dataset-v3\Beedrill\2.jpg,Bug,Poison
Beedrill,15,../dataset-v3\Beedrill\3.jpg,Bug,Poison
Beedrill,15,../dataset-v3\Beedrill\4.jpg,Bug,Poison
Beedrill,15,../dataset-v3\Beedrill\5.jpg,Bug,Poison
Beheeyem,606,../dataset-v3\Beheeyem\0.jpg,Psychic,
Beheeyem,606,../dataset-v3\Beheeyem\1.jpg,Psychic,
Beldum,374,../dataset-v3\Beldum\0.jpg,Steel,Psychic
Beldum,374,../dataset-v3\Beldum\1.jpg,Steel,Psychic
Beldum,374,../dataset-v3\Beldum\2.jpg,Steel,Psychic
Bellossom,182,../dataset-v3\Bellossom\0.jpg,Grass,
Bellossom,182,../dataset-v3\Bellossom\1.jpg,Grass,
Bellossom,182,../dataset-v3\Bellossom\2.jpg,Grass,
Bellsprout,69,../dataset-v3\Bellsprout\0.jpg,Grass,Poison
Bellsprout,69,../dataset-v3\Bellsprout\1.jpg,Grass,Poison
Bellsprout,69,../dataset-v3\Bellsprout\2.jpg,Grass,Poison
Bellsprout,69,../dataset-v3\Bellsprout\3.jpg,Grass,Poison
Bergmite,712,../dataset-v3\Bergmite\0.jpg,Ice,
Bergmite,712,../dataset-v3\Bergmite\1.jpg,Ice,
Bibarel,400,../dataset-v3\Bibarel\0.jpg,Normal,Water
Bibarel,400,../dataset-v3\Bibarel\1.jpg,Normal,Water
Bidoof,399,../dataset-v3\Bidoof\0.jpg,Normal,
Bidoof,399,../dataset-v3\Bidoof\1.jpg,Normal,
Binacle,688,../dataset-v3\Binacle\0.jpg,Rock,Water
Binacle,688,../dataset-v3\Binacle\1.jpg,Rock,Water
Bisharp,625,../dataset-v3\Bisharp\0.jpg,Dark,Steel
Bisharp,625,../dataset-v3\Bisharp\1.jpg,Dark,Steel
Blastoise,9,../dataset-v3\Blastoise\0.jpg,Water,
Blastoise,9,../dataset-v3\Blastoise\1.jpg,Water,
Blastoise,9,../dataset-v3\Blastoise\2.jpg,Water,
Blastoise,9,../dataset-v3\Blastoise\3.jpg,Water,
Blastoise,9,../dataset-v3\Blastoise\4.jpg,Water,
Blastoise,9,../dataset-v3\Blastoise\5.jpg,Water,
Blaziken,257,../dataset-v3\Blaziken\0.jpg,Fire,Fighting
Blaziken,257,../dataset-v3\Blaziken\1.jpg,Fire,Fighting
Blaziken,257,../dataset-v3\Blaziken\2.jpg,Fire,Fighting
Blaziken,257,../dataset-v3\Blaziken\3.jpg,Fire,Fighting
Blissey,242,../dataset-v3\Blissey\0.jpg,Normal,
Blissey,242,../dataset-v3\Blissey\1.jpg,Normal,
Blissey,242,../dataset-v3\Blissey\2.jpg,Normal,
Blitzle,522,../dataset-v3\Blitzle\0.jpg,Electric,
Blitzle,522,../dataset-v3\Blitzle\1.jpg,Electric,
Boldore,525,../dataset-v3\Boldore\0.jpg,Rock,
Boldore,525,../dataset-v3\Boldore\1.jpg,Rock,
Bonsly,438,../dataset-v3\Bonsly\0.jpg,Rock,
Bonsly,438,../dataset-v3\Bonsly\1.jpg,Rock,
Bouffalant,626,../dataset-v3\Bouffalant\0.jpg,Normal,
Bouffalant,626,../dataset-v3\Bouffalant\1.jpg,Normal,
Braixen,654,../dataset-v3\Braixen\0.jpg,Fire,
Braixen,654,../dataset-v3\Braixen\1.jpg,Fire,
Braviary,628,../dataset-v3\Braviary\0.jpg,Normal,Flying
Braviary,628,../dataset-v3\Braviary\1.jpg,Normal,Flying
Breloom,286,../dataset-v3\Breloom\0.jpg,Grass,Fighting
Breloom,286,../dataset-v3\Breloom\1.jpg,Grass,Fighting
Bronzong,437,../dataset-v3\Bronzong\0.jpg,Steel,Psychic
Bronzong,437,../dataset-v3\Bronzong\1.jpg,Steel,Psychic
Bronzor,436,../dataset-v3\Bronzor\0.jpg,Steel,Psychic
Bronzor,436,../dataset-v3\Bronzor\1.jpg,Steel,Psychic
Budew,406,../dataset-v3\Budew\0.jpg,Grass,Poison
Budew,406,../dataset-v3\Budew\1.jpg,Grass,Poison
Buizel,418,../dataset-v3\Buizel\0.jpg,Water,
Buizel,418,../dataset-v3\Buizel\1.jpg,Water,
Bulbasaur,1,../dataset-v3\Bulbasaur\0.jpg,Grass,Poison
Bulbasaur,1,../dataset-v3\Bulbasaur\1.jpg,Grass,Poison
Bulbasaur,1,../dataset-v3\Bulbasaur\2.jpg,Grass,Poison
Buneary,427,../dataset-v3\Buneary\0.jpg,Normal,
Buneary,427,../dataset-v3\Buneary\1.jpg,Normal,
Bunnelby,659,../dataset-v3\Bunnelby\0.jpg,Normal,
Bunnelby,659,../dataset-v3\Bunnelby\1.jpg,Normal,
Burmy,412,../dataset-v3\Burmy\0.jpg,Bug,
Burmy,412,../dataset-v3\Burmy\1.jpg,Bug,
Burmy,412,../dataset-v3\Burmy\2.jpg,Bug,
Burmy,412,../dataset-v3\Burmy\3.jpg,Bug,
Burmy,412,../dataset-v3\Burmy\4.jpg,Bug,
Burmy,412,../dataset-v3\Burmy\5.jpg,Bug,
Butterfree,12,../dataset-v3\Butterfree\0.jpg,Bug,Flying
Butterfree,12,../dataset-v3\Butterfree\1.jpg,Bug,Flying
Butterfree,12,../dataset-v3\Butterfree\2.jpg,Bug,Flying
Butterfree,12,../dataset-v3\Butterfree\3.jpg,Bug,Flying
Butterfree,12,../dataset-v3\Butterfree\4.jpg,Bug,Flying
Butterfree,12,../dataset-v3\Butterfree\5.jpg,Bug,Flying
Cacnea,331,../dataset-v3\Cacnea\0.jpg,Grass,
Cacnea,331,../dataset-v3\Cacnea\1.jpg,Grass,
Cacturne,332,../dataset-v3\Cacturne\0.jpg,Grass,Dark
Cacturne,332,../dataset-v3\Cacturne\1.jpg,Grass,Dark
Camerupt,323,../dataset-v3\Camerupt\0.jpg,Fire,Ground
Camerupt,323,../dataset-v3\Camerupt\1.jpg,Fire,Ground
Camerupt,323,../dataset-v3\Camerupt\2.jpg,Fire,Ground
Camerupt,323,../dataset-v3\Camerupt\3.jpg,Fire,Ground
Carbink,703,../dataset-v3\Carbink\0.jpg,Rock,Fairy
Carbink,703,../dataset-v3\Carbink\1.jpg,Rock,Fairy
Carnivine,455,../dataset-v3\Carnivine\0.jpg,Grass,
Carnivine,455,../dataset-v3\Carnivine\1.jpg,Grass,
Carracosta,565,../dataset-v3\Carracosta\0.jpg,Water,Rock
Carracosta,565,../dataset-v3\Carracosta\1.jpg,Water,Rock
Carvanha,318,../dataset-v3\Carvanha\0.jpg,Water,Dark
Carvanha,318,../dataset-v3\Carvanha\1.jpg,Water,Dark
Cascoon,268,../dataset-v3\Cascoon\0.jpg,Bug,
Cascoon,268,../dataset-v3\Cascoon\1.jpg,Bug,
Castform,351,../dataset-v3\Castform\0.jpg,Normal,
Castform,351,../dataset-v3\Castform\1.jpg,Normal,
Castform,351,../dataset-v3\Castform\2.jpg,Normal,
Castform,351,../dataset-v3\Castform\3.jpg,Normal,
Castform,351,../dataset-v3\Castform\4.jpg,Normal,
Caterpie,10,../dataset-v3\Caterpie\0.jpg,Bug,
Caterpie,10,../dataset-v3\Caterpie\1.jpg,Bug,
Caterpie,10,../dataset-v3\Caterpie\2.jpg,Bug,
Caterpie,10,../dataset-v3\Caterpie\3.jpg,Bug,
Celebi,251,../dataset-v3\Celebi\0.jpg,Psychic,Grass
Celebi,251,../dataset-v3\Celebi\1.jpg,Psychic,Grass
Celebi,251,../dataset-v3\Celebi\2.jpg,Psychic,Grass
Chandelure,609,../dataset-v3\Chandelure\0.jpg,Ghost,Fire
Chandelure,609,../dataset-v3\Chandelure\1.jpg,Ghost,Fire
Chansey,113,../dataset-v3\Chansey\0.jpg,Normal,
Chansey,113,../dataset-v3\Chansey\1.jpg,Normal,
Chansey,113,../dataset-v3\Chansey\2.jpg,Normal,
Chansey,113,../dataset-v3\Chansey\3.jpg,Normal,
Charizard,6,../dataset-v3\Charizard\0.jpg,Fire,Flying
Charizard,6,../dataset-v3\Charizard\1.jpg,Fire,Flying
Charizard,6,../dataset-v3\Charizard\2.jpg,Fire,Flying
Charizard,6,../dataset-v3\Charizard\3.jpg,Fire,Flying
Charizard,6,../dataset-v3\Charizard\4.jpg,Fire,Flying
Charmander,4,../dataset-v3\Charmander\0.jpg,Fire,
Charmander,4,../dataset-v3\Charmander\1.jpg,Fire,
Charmander,4,../dataset-v3\Charmander\2.jpg,Fire,
Charmander,4,../dataset-v3\Charmander\3.jpg,Fire,
Charmeleon,5,../dataset-v3\Charmeleon\0.jpg,Fire,
Charmeleon,5,../dataset-v3\Charmeleon\1.jpg,Fire,
Charmeleon,5,../dataset-v3\Charmeleon\2.jpg,Fire,
Chatot,441,../dataset-v3\Chatot\0.jpg,Normal,Flying
Chatot,441,../dataset-v3\Chatot\1.jpg,Normal,Flying
Cherrim,421,../dataset-v3\Cherrim\0.jpg,Grass,
Cherrim,421,../dataset-v3\Cherrim\1.jpg,Grass,
Cherrim,421,../dataset-v3\Cherrim\2.jpg,Grass,
Cherrim,421,../dataset-v3\Cherrim\3.jpg,Grass,
Cherubi,420,../dataset-v3\Cherubi\0.jpg,Grass,
Cherubi,420,../dataset-v3\Cherubi\1.jpg,Grass,
Chesnaught,652,../dataset-v3\Chesnaught\0.jpg,Grass,Fighting
Chesnaught,652,../dataset-v3\Chesnaught\1.jpg,Grass,Fighting
Chespin,650,../dataset-v3\Chespin\0.jpg,Grass,
Chespin,650,../dataset-v3\Chespin\1.jpg,Grass,
Chikorita,152,../dataset-v3\Chikorita\0.jpg,Grass,
Chikorita,152,../dataset-v3\Chikorita\1.jpg,Grass,
Chikorita,152,../dataset-v3\Chikorita\2.jpg,Grass,
Chimchar,390,../dataset-v3\Chimchar\0.jpg,Fire,
Chimchar,390,../dataset-v3\Chimchar\1.jpg,Fire,
Chimchar,390,../dataset-v3\Chimchar\2.jpg,Fire,
Chimecho,358,../dataset-v3\Chimecho\0.jpg,Psychic,
Chimecho,358,../dataset-v3\Chimecho\1.jpg,Psychic,
Chinchou,170,../dataset-v3\Chinchou\0.jpg,Water,Electric
Chinchou,170,../dataset-v3\Chinchou\1.jpg,Water,Electric
Chinchou,170,../dataset-v3\Chinchou\2.jpg,Water,Electric
Chingling,433,../dataset-v3\Chingling\0.jpg,Psychic,
Chingling,433,../dataset-v3\Chingling\1.jpg,Psychic,
Cinccino,573,../dataset-v3\Cinccino\0.jpg,Normal,
Cinccino,573,../dataset-v3\Cinccino\1.jpg,Normal,
Clamperl,366,../dataset-v3\Clamperl\0.jpg,Water,
Clamperl,366,../dataset-v3\Clamperl\1.jpg,Water,
Clauncher,692,../dataset-v3\Clauncher\0.jpg,Water,
Clauncher,692,../dataset-v3\Clauncher\1.jpg,Water,
Clawitzer,693,../dataset-v3\Clawitzer\0.jpg,Water,
Clawitzer,693,../dataset-v3\Clawitzer\1.jpg,Water,
Claydol,344,../dataset-v3\Claydol\0.jpg,Ground,Psychic
Claydol,344,../dataset-v3\Claydol\1.jpg,Ground,Psychic
Clefable,36,../dataset-v3\Clefable\0.jpg,Fairy,
Clefable,36,../dataset-v3\Clefable\1.jpg,Fairy,
Clefable,36,../dataset-v3\Clefable\2.jpg,Fairy,
Clefable,36,../dataset-v3\Clefable\3.jpg,Fairy,
Clefairy,35,../dataset-v3\Clefairy\0.jpg,Fairy,
Clefairy,35,../dataset-v3\Clefairy\1.jpg,Fairy,
Clefairy,35,../dataset-v3\Clefairy\2.jpg,Fairy,
Clefairy,35,../dataset-v3\Clefairy\3.jpg,Fairy,
Cleffa,173,../dataset-v3\Cleffa\0.jpg,Fairy,
Cleffa,173,../dataset-v3\Cleffa\1.jpg,Fairy,
Cleffa,173,../dataset-v3\Cleffa\2.jpg,Fairy,
Cloyster,91,../dataset-v3\Cloyster\0.jpg,Water,Ice
Cloyster,91,../dataset-v3\Cloyster\1.jpg,Water,Ice
Cloyster,91,../dataset-v3\Cloyster\2.jpg,Water,Ice
Cloyster,91,../dataset-v3\Cloyster\3.jpg,Water,Ice
Cobalion,638,../dataset-v3\Cobalion\0.jpg,Steel,Fighting
Cobalion,638,../dataset-v3\Cobalion\1.jpg,Steel,Fighting
Cofagrigus,563,../dataset-v3\Cofagrigus\0.jpg,Ghost,
Cofagrigus,563,../dataset-v3\Cofagrigus\1.jpg,Ghost,
Combee,415,../dataset-v3\Combee\0.jpg,Bug,Flying
Combee,415,../dataset-v3\Combee\1.jpg,Bug,Flying
Combusken,256,../dataset-v3\Combusken\0.jpg,Fire,Fighting
Combusken,256,../dataset-v3\Combusken\1.jpg,Fire,Fighting
Conkeldurr,534,../dataset-v3\Conkeldurr\0.jpg,Fighting,
Conkeldurr,534,../dataset-v3\Conkeldurr\1.jpg,Fighting,
Corphish,341,../dataset-v3\Corphish\0.jpg,Water,
Corphish,341,../dataset-v3\Corphish\1.jpg,Water,
Corsola,222,../dataset-v3\Corsola\0.jpg,Water,Rock
Corsola,222,../dataset-v3\Corsola\1.jpg,Water,Rock
Corsola,222,../dataset-v3\Corsola\2.jpg,Water,Rock
Corsola,222,../dataset-v3\Corsola\3.jpg,Water,Rock
Cottonee,546,../dataset-v3\Cottonee\0.jpg,Grass,Fairy
Cottonee,546,../dataset-v3\Cottonee\1.jpg,Grass,Fairy
Cradily,346,../dataset-v3\Cradily\0.jpg,Rock,Grass
Cradily,346,../dataset-v3\Cradily\1.jpg,Rock,Grass
Cranidos,408,../dataset-v3\Cranidos\0.jpg,Rock,
Cranidos,408,../dataset-v3\Cranidos\1.jpg,Rock,
Crawdaunt,342,../dataset-v3\Crawdaunt\0.jpg,Water,Dark
Crawdaunt,342,../dataset-v3\Crawdaunt\1.jpg,Water,Dark
Cresselia,488,../dataset-v3\Cresselia\0.jpg,Psychic,
Cresselia,488,../dataset-v3\Cresselia\1.jpg,Psychic,
Croagunk,453,../dataset-v3\Croagunk\0.jpg,Poison,Fighting
Croagunk,453,../dataset-v3\Croagunk\1.jpg,Poison,Fighting
Crobat,169,../dataset-v3\Crobat\0.jpg,Poison,Flying
Crobat,169,../dataset-v3\Crobat\1.jpg,Poison,Flying
Crobat,169,../dataset-v3\Crobat\2.jpg,Poison,Flying
Croconaw,159,../dataset-v3\Croconaw\0.jpg,Water,
Croconaw,159,../dataset-v3\Croconaw\1.jpg,Water,
Croconaw,159,../dataset-v3\Croconaw\2.jpg,Water,
Crustle,558,../dataset-v3\Crustle\0.jpg,Bug,Rock
Crustle,558,../dataset-v3\Crustle\1.jpg,Bug,Rock
Cryogonal,615,../dataset-v3\Cryogonal\0.jpg,Ice,
Cryogonal,615,../dataset-v3\Cryogonal\1.jpg,Ice,
Cubchoo,613,../dataset-v3\Cubchoo\0.jpg,Ice,
Cubchoo,613,../dataset-v3\Cubchoo\1.jpg,Ice,
Cubone,104,../dataset-v3\Cubone\0.jpg,Ground,
Cubone,104,../dataset-v3\Cubone\1.jpg,Ground,
Cubone,104,../dataset-v3\Cubone\2.jpg,Ground,
Cubone,104,../dataset-v3\Cubone\3.jpg,Ground,
Cyndaquil,155,../dataset-v3\Cyndaquil\0.jpg,Fire,
Cyndaquil,155,../dataset-v3\Cyndaquil\1.jpg,Fire,
Cyndaquil,155,../dataset-v3\Cyndaquil\2.jpg,Fire,
Darkrai,491,../dataset-v3\Darkrai\0.jpg,Dark,
Darkrai,491,../dataset-v3\Darkrai\1.jpg,Dark,
Darumaka,554,../dataset-v3\Darumaka\0.jpg,Fire,
Darumaka,554,../dataset-v3\Darumaka\1.jpg,Fire,
Darumaka,554,../dataset-v3\Darumaka\2.jpg,Fire,
Dedenne,702,../dataset-v3\Dedenne\0.jpg,Electric,Fairy
Dedenne,702,../dataset-v3\Dedenne\1.jpg,Electric,Fairy
Deerling,585,../dataset-v3\Deerling\0.jpg,Normal,Grass
Deerling,585,../dataset-v3\Deerling\1.jpg,Normal,Grass
Deerling,585,../dataset-v3\Deerling\2.jpg,Normal,Grass
Deerling,585,../dataset-v3\Deerling\3.jpg,Normal,Grass
Deerling,585,../dataset-v3\Deerling\4.jpg,Normal,Grass
Deerling,585,../dataset-v3\Deerling\5.jpg,Normal,Grass
Deino,633,../dataset-v3\Deino\0.jpg,Dark,Dragon
Deino,633,../dataset-v3\Deino\1.jpg,Dark,Dragon
Delcatty,301,../dataset-v3\Delcatty\0.jpg,Normal,
Delcatty,301,../dataset-v3\Delcatty\1.jpg,Normal,
Delibird,225,../dataset-v3\Delibird\0.jpg,Ice,Flying
Delibird,225,../dataset-v3\Delibird\1.jpg,Ice,Flying
Delibird,225,../dataset-v3\Delibird\2.jpg,Ice,Flying
Delphox,655,../dataset-v3\Delphox\0.jpg,Fire,Psychic
Delphox,655,../dataset-v3\Delphox\1.jpg,Fire,Psychic
Dewgong,87,../dataset-v3\Dewgong\0.jpg,Water,Ice
Dewgong,87,../dataset-v3\Dewgong\1.jpg,Water,Ice
Dewgong,87,../dataset-v3\Dewgong\2.jpg,Water,Ice
Dewgong,87,../dataset-v3\Dewgong\3.jpg,Water,Ice
Dewott,502,../dataset-v3\Dewott\0.jpg,Water,
Dewott,502,../dataset-v3\Dewott\1.jpg,Water,
Dialga,483,../dataset-v3\Dialga\0.jpg,Steel,Dragon
Dialga,483,../dataset-v3\Dialga\1.jpg,Steel,Dragon
Dialga,483,../dataset-v3\Dialga\2.jpg,Steel,Dragon
Dialga,483,../dataset-v3\Dialga\3.jpg,Steel,Dragon
Diancie,719,../dataset-v3\Diancie\0.jpg,Rock,Fairy
Diancie,719,../dataset-v3\Diancie\1.jpg,Rock,Fairy
Diancie,719,../dataset-v3\Diancie\2.jpg,Rock,Fairy
Diancie,719,../dataset-v3\Diancie\3.jpg,Rock,Fairy
Diancie,719,../dataset-v3\Diancie\4.jpg,Rock,Fairy
Diggersby,660,../dataset-v3\Diggersby\0.jpg,Normal,Ground
Diggersby,660,../dataset-v3\Diggersby\1.jpg,Normal,Ground
Diglett,50,../dataset-v3\Diglett\0.jpg,Ground,
Diglett,50,../dataset-v3\Diglett\1.jpg,Ground,
Diglett,50,../dataset-v3\Diglett\2.jpg,Ground,
Diglett,50,../dataset-v3\Diglett\3.jpg,Ground,
Diglett,50,../dataset-v3\Diglett\4.jpg,Ground,
Diglett,50,../dataset-v3\Diglett\5.jpg,Ground,
Ditto,132,../dataset-v3\Ditto\0.jpg,Normal,
Ditto,132,../dataset-v3\Ditto\1.jpg,Normal,
Ditto,132,../dataset-v3\Ditto\2.jpg,Normal,
Ditto,132,../dataset-v3\Ditto\3.jpg,Normal,
Dodrio,85,../dataset-v3\Dodrio\0.jpg,Normal,Flying
Dodrio,85,../dataset-v3\Dodrio\1.jpg,Normal,Flying
Dodrio,85,../dataset-v3\Dodrio\2.jpg,Normal,Flying
Dodrio,85,../dataset-v3\Dodrio\3.jpg,Normal,Flying
Doduo,84,../dataset-v3\Doduo\0.jpg,Normal,Flying
Doduo,84,../dataset-v3\Doduo\1.jpg,Normal,Flying
Doduo,84,../dataset-v3\Doduo\2.jpg,Normal,Flying
Doduo,84,../dataset-v3\Doduo\3.jpg,Normal,Flying
Donphan,232,../dataset-v3\Donphan\0.jpg,Ground,
Donphan,232,../dataset-v3\Donphan\1.jpg,Ground,
Donphan,232,../dataset-v3\Donphan\2.jpg,Ground,
